Title,Sponsor,Submission Deadline,Award Amount,Description
TUMS School of Traditional Medicine Scholarship,Sponsor: School of Traditional Medicine,Unrestricted,"$4,643 U.S. Dollar / Year","School of Traditional Medicine of Tehran University of Medical Sciences was established in 2007, as a result of the increasing interest and the national need in traditional, alternative, and complementary medicine services. This school, as the oldest and most distinguished school of Traditional Medicine in Iran, is the postgraduate academic center to educate talented students at Ph.D. level in traditional medicine and pharmacy of traditional medicine.
The total number of students is more than 100 up to the present and the first group awarded the degree of Ph.D. in 2012.
 

The School of Traditional Medicine is the academic development of traditional Iranian medicine in the country and around the world. To this aim, the School’s curriculum provides the students with the opportunity to promote their skills both in theory and practice in different fields of clinical traditional medicine as well as nutrition, material medicine, and pharmacy.
The specific objectives of this School are for students to gain an understanding of how to combine traditional medicine with current medicine, and to become a specialist, a broad minded and ethical individual. 
This School accepts students with M.D. or Pharm D. into Ph.D. programs. The curriculum also hopes to fill the gap between university and industry in the field of herbal medicine and traditional medicine.
..............................................................................................................................................................................................
TUMS School of Traditional Medicine accepts international students in the following programs:
 ..............................................................................................................................................................................................
((Traditional Medicine   Ph.D.))
((Nutrition in Traditional Medicine . Short-Term Courses))
((Medical Massage . Short-Term Courses))
((Cupping and Hijamat . Short-Term Courses))
((Life Style in Iranian Medicine . Short-Term Courses))
((Pharmacy in Traditional Medicine   Ph.D.))
((History of Medical Sciences     M.Sc.   Ph.D.))"
TUMS School of Traditional Medicine Scholarship,Sponsor: School of Traditional Medicine,Unrestricted,"$4,643 U.S. Dollar / Year","School of Traditional Medicine of Tehran University of Medical Sciences was established in 2007, as a result of the increasing interest and the national need in traditional, alternative, and complementary medicine services. This school, as the oldest and most distinguished school of Traditional Medicine in Iran, is the postgraduate academic center to educate talented students at Ph.D. level in traditional medicine and pharmacy of traditional medicine.
The total number of students is more than 100 up to the present and the first group awarded the degree of Ph.D. in 2012.
 

The School of Traditional Medicine is the academic development of traditional Iranian medicine in the country and around the world. To this aim, the School’s curriculum provides the students with the opportunity to promote their skills both in theory and practice in different fields of clinical traditional medicine as well as nutrition, material medicine, and pharmacy.
The specific objectives of this School are for students to gain an understanding of how to combine traditional medicine with current medicine, and to become a specialist, a broad minded and ethical individual. 
This School accepts students with M.D. or Pharm D. into Ph.D. programs. The curriculum also hopes to fill the gap between university and industry in the field of herbal medicine and traditional medicine.
..............................................................................................................................................................................................
TUMS School of Traditional Medicine accepts international students in the following programs:
 ..............................................................................................................................................................................................
((Traditional Medicine   Ph.D.))
((Nutrition in Traditional Medicine . Short-Term Courses))
((Medical Massage . Short-Term Courses))
((Cupping and Hijamat . Short-Term Courses))
((Life Style in Iranian Medicine . Short-Term Courses))
((Pharmacy in Traditional Medicine   Ph.D.))
((History of Medical Sciences     M.Sc.   Ph.D.))"
IOE-Colfuturo Scholarships,Sponsor: Institute of Education,Education,50% of tuition,"Colombian students intending to study for a masters or a doctorate at the IOE can apply to be considered for Colfuturo's graduate Loan-Scholarship Programme. Under this scheme, the IOE will provide a scholarship of 50% of the tuition fees for up to four awards annually."
IOE-Conicyt Chile,Sponsor: Institute of Education,Education,Varied,The IOE and Conicyt Chile offer jointly-funded scholarships for masters degrees in education.
Richard Morris Hunt Fellowship,Sponsor: American Architectural Foundation,Architecture & Design,"$25,000 USD",For architects pursuing a career in historic preservation. Candidate goes to France for six months.
TUMS Virtual School Scholarship,Sponsor: Virtual School,Unrestricted,"$4,643 U.S. Dollar / Year","Technology is transforming the world, and virtual education will keep it up. To explore a career in e-learning world of medical sciences and to develop more flexible and student-centered training programs with multi professional education, Tehran University of Medical Sciences (TUMS) has established the Virtual School Scholarship.
 
Regarding the fast growing demand in medical fields for greater internationalization, more flexible and student-centered training programs with multi-professional elements are determined to commence a revolutionary approach to train tomorrow's health experts by using the latest advances in e-learning and technology which is being explored in Virtual School of Tehran University of Medical Sciences.
 
..............................................................................................................................................................................................
TUMS Virtual School accepts international students in the following programs:
 
((E-Learning in Medical Education (I) M.Sc.))
((Virtual Pharmaceutical Regulatory Affairs M.Sc.))
((Medical Education M.Sc.))
((Medical Library M.Sc.))
((E-Health (II) M.Sc.))"
EU Scholarship-Global College Malta,Sponsor: Global College Malta,Unrestricted,90%,"Become an EU Scholar at Global College Malta
and receive 90% reduction from your fees.
By offering these EU Scholarships, Global College Malta (GCM) aims to provide new opportunities to European residents who wish to pursue a Bachelor’s or Master’s degree in the international environment at Global College Malta.
Having students with various backgrounds forming multicultural classes, Global College Malta intends to create a multinational
dialog among young leaders and thus ensure a unique learning experience, while giving attention to hot topics of the European
economy. To establish this multicultural base, this EU scholarship is offered to two residents of each EU member state."
Full Merit Scholarship-Global College Malta,Sponsor: Global College Malta,Unrestricted,100%,"By offering Full Scholarships based on academic merit, Global College Malta (GCM) aims to provide new opportunities to students, who have achieved unusually high academic excellence during their previous studies and who wish to pursue a Bachelor’s or Master’s degree at Global College Malta.

Eligibility:
All applicants who have been accepted to one of the following courses:

(MBA - University of Chester)
(MSc in Management -University of Chester)
(BA in Management)
(Foundation Course in Management with English)"
American Institute Of Architects/ American Heart Association Fellowships In Heal,Sponsor: Academy of Architecture for Health of the American Institute of Architects,Architecture & Design,"$22,000 USD",Award available to students working toward a two-year graduate degree in architecture.
The Leo S. Rowe Pan American Fund,Sponsor: Organization of American States,Unrestricted,"15,000","The Rowe Fund program, founded in 1948, serves an important social function by making interest-free loans for up to USD 15,000 to citizens of Latin America and the Caribbean, in order to help them finance their studies or research in universities across the United States.  This program is available to individuals currently studying or wishing to pursue graduate, postgraduate or the last two years of undergraduate studies."
Scholarship for GED Prep,Sponsor: EducateTheUSA,Unrestricted,GED Academy Classes,"We offer Online GED Preparation Class Scholarships. These online GED prep classes come from the GED Academy, one of the most powerful GED preparation courses."
NAPE Foundation-PISL Scholarship Award,Sponsor: NAPE Foundation,"Business/Management, Finance and Accounting","GHC 1,700","The scholarship will cover tuition fees for the period of study (2 years)

Students who'll benefit from this scholarship will be enrolled for a 2-year Diploma at The Palm Institute of Strategic Leadership (PISL) in any of the following programs:

Diploma in Business Administration

Diploma in Computerized Accounting

Diploma in Banking Technology & Accounting"
Secondary School Exchange Scholarship,Sponsor: ESU,Unrestricted,"$30,000 - $50,000","Since 1928, the ESU has offered thousands of young people the once in a lifetime opportunity to spend two or three terms in a private US high school, after A-levels. A Secondary School Exchange Scholarship is a gap year with a difference. Scholars study a range of subjects including some that don’t feature in a British school syllabus. Many scholars take the opportunity to study subjects they dropped at GCSE, or to go into more depth in their chosen degree subject, without the added pressure of A-levels. The study skills that can be gained from the exchange have proven to be beneficial at University: American teaching emphasises independence of thought, and discussions play a large part in the classroom.

SSE is also as much a cultural exchange as an academic one. Host schools offer an extensive range of extracurricular activities and facilities, as well as American rites of passage such as spring break, prom, and graduation. Your independence, wider outlook and increased maturity will be of benefit to you at university and in your future career."
"PhD Scholarships in CS, Economics and Management, Engineering, Cultural Heritage",Sponsor: IMT Institute for Advanced Studies Lucca,"Business/Management, Computer & Information Systems, Cultural Studies, Engineering, Mathematics...","13,600 Euro/Year","Applications are now being accepted for the 2014/15 PhD program at IMT Institute for Advanced Studies Lucca (www.imtlucca.it).  Highly motivated candidates are invited to apply for fully-funded positions within a doctoral program that integrates scientific competences of economics, engineering, computer science, physics, applied mathematics, statistics, history and sciences of cultural heritage.


The three year program is articulated in curricula. The 8 curricula currently offered are field-specific, although in many instances they share a common scientific background."
Tanaka and Green Scholarships Program,Sponsor: Japan-America Society of Washington DC,Unrestricted,"$5,000",In 2014 JASW established the Tanaka and Green Academic Scholarships to support short-term academic study (one semester or one academic year) at colleges and universities in Japan. The scholarships are made possible thanks to the Society's H. William and Lily Tanaka Scholarship Endowment and the Marshal and Lispenard Green Educational Endowment. Please EMAIL inquiries to the address listed below.
BAU International University in Washington DC,Sponsor: BAU International University,"Business/Management, ESL & English Language, Law & Legal Studies, Economics and Political Science",Up to %100,"We are proud to be spearheading BAUI’s new scholarship program which will provide up to 100% tuition coverage for up to 30 undergraduate and graduate students.  Undergraduate scholarship programs include: Political Science & International Relations and Economics & Finance. Graduate scholarship programs include: Executive MBA, MBA in Law & Economics and Global Affairs.

Students at BAUI benefit from the vibrant diversity of Washington DC and our international student body, making it the perfect place to explore our rich American heritage and a multitude of other cultures.  Conveniently located in the nation’s capital, our campus uniquely positions students to develop both their academic and professional skills amidst the  country’s leading experts in law, international affairs, and government. Here, students will find a wealth of experiences that enrich the teachings of our classrooms.

You can apply by using the following link: http://www.bauinternational.com/apply/

Website: www.bauinternational.com"
BAU International Scholarship,Sponsor: BAUI,"Business/Management, Law & Legal Studies, Economics and Political Science",Up to %100,"We are proud to be spearheading BAUI’s new scholarship program which will provide up to 100% tuition coverage for up to 30 undergraduate and graduate students.  Undergraduate scholarship programs include: Political Science & International Relations and Economics & Finance. Graduate scholarship programs include: Executive MBA, MBA in Law & Economics and Global Affairs.

Students at BAUI benefit from the vibrant diversity of Washington DC and our international student body, making it the perfect place to explore our rich American heritage and a multitude of other cultures.  Conveniently located in the nation’s capital, our campus uniquely positions students to develop both their academic and professional skills amidst the  country’s leading experts in law, international affairs, and government. Here, students will find a wealth of experiences that enrich the teachings of our classrooms."
BrokerFish Spring Scholarship Competition,Sponsor: BrokerFish.com,Unrestricted,$1000,"FREE to enter, the scholarship program is designed to help you save money during the academic year and help with your path to a successful future. Created for high school and university students, now is the time to take advantage of this limited offer to lower your tuition and achieve your academic and career goals!"
Postdoc: Study of compound semiconductors ionizing radiation detectors,Sponsor: Universidad de la República-ANII,"Chemistry, Physics and Science",2000,"Field: Compound semiconductors ionizing radiation detectors.
Highly motivated candidates are invited to apply for a position within a postdoctoral program that integrates physics, chemistry and materials science.
Purpose and overview: 
The work will be focused on the study of electric properties (I-V Curves, mu-tau product), radiation response (spectrometry), and charge collection efficiency of different detectors constructed with compound semiconductors. 
In this Project a novel generation of compound semiconductors detectors will be developed using nanotechnolgy, and the results will be compared with detectors constructed with oriented crystalline films.  
The Institution is a new thriving Centre developed by Universidad de la República, constructed in 2012, located at 200 km from Montevideo, the Capital of the Country."
International Furloughing Missionary @ Wheaton College Graduate School,Sponsor: Billy Graham Center Scholarship Program,"Psychology, Other, Teaching English to Speakers of Other Languages (TESOL), Theology and Religious Studies, History and Languages/Linguistics","$40,000","Loan/scholarships for those in full-time Christian ministry in a non-U.S. country that's not their home.  The award is for a master's degree at Wheaton College Graduate School to enhance ministry.  Recipients must return to ministry to earn loan forgiveness (1yr.=25%). This merit-based award covers tuition and insurance. Based on need, more may be given for living expenses."
English-Speaking Union Music Scholarship,Sponsor: English-Speaking Union,Music,"Up to £2,000","ESU Music Scholarships allow exceptional young musicians to develop their talents and further their training at one of several internationally renowned music programmes in the UK, Europe, America, and Canada. The young people who have derived benefit from this valuable experience are now making a significant contribution to the musical profession, both as performers and as teachers. Notable alumni include Steven Isserlis, Tasmin Little, Nigel Kennedy, Vanessa Latarche, Robert Cohen, and Stephanie Gonley.

An ESU Music Scholarship covers the cost of tuition, board and lodging at one of the following supported programmes. Travel is also included for Yale and Tanglewood. 

Académie Internationale de Musique Maurice Ravel: St Jean de Luz, France, September (2 weeks)

Banff Centre: Alberta, Canada, June - August (2-3 weeks)

International Musicians Seminar: Prussia Cove, UK, March - April (3 weeks)

Tanglewood Music Center: Lenox, Massachusetts, USA, June - August (8 weeks)

Yale Summer School of Music - Norfolk Music Festival: Norfolk, Connecticut, USA, July - August (6 weeks)

Georg Solti Accademia di Bel Canto, Castiglione della Pescaia, Italy, June - July (3 weeks)"
Study of borate glass crystallization fellowship,Sponsor: Agencia Nacional de Investigación e Innovación (ANII),"Chemistry, Physics and Science",2000,"Highly motivated candidates are invited to apply for a position within a postdoctoral program that integrates physics, chemistry and materials science.
Purpose and overview: 
The work will be focused on the study of borate glass crystallization by X-Ray Difrraction, energy storage and optical properties of glass and glass ceramics 
In this Project novel borate glass ceramics will be developed and using X Ray Diffraction the crystalline fraction will be determined. 
The Institution is a new thriving Centre developed by Universidad de la República, constructed in 2012, located at 200 km from Montevideo, the Capital of the Country. 
Qualifications Required:
•	PhD in Physics, Chemistry, Materials Science and Engineering or closely related field, must have completed all degree requirements before starting their appointment, and be within six years of receiving Doctorate
•	Demonstrated experience with use of Difrraction Tecnhique 
•	Ability to communicate in English, Spanish or Portuguese
•	Motivated and safety conscious and possess excellent interpersonal and oral and written communication skills
•	Strong record of productive and creative research demonstrated by publications in peer-reviewed journals and presentations at scientific conferences.
•	Capable of innovative research with minimal supervision and the ability to work collaboratively in a team environment and interact effectively with a broad range of colleagues
•	Work with staff and contribute to the production of research proposals

QUALIFICATIONS DESIRED:
•	Background in solid-state and condensed matter physics, and labview experience 

For more information, please contact Prof. Laura Fornaro, lfornaro@gmail.com
For scholarship application, please visit: http://www.anii.org.uy/web/node/81"
Costa Rican Vacations Scholarship,Sponsor: Corporacion de Viajes Mundiales S.A.,"Sustainable Development, Travel/Tourism and Hospitality","$1,000","The Costa Rica Vacations scholarship program recognizes and rewards innovation and ideas within the areas of tourism studies and sustainable tourism. Every year Costa Rican Vacations will award two scholarships of $1000 to the successful student who is interested in pursuing their studies and their career in tourism or sustainable development. Scholarships are not renewable; however, a recipient may reapply."
The Fulbright Scholar-in-Residence Program,Sponsor: Council for International Exchange of Scholars,Humanities,Variable,"To enable colleges and universities to bring scholars and professionals from abroad to lecture to campuses and programs that seldom have the opportunity to host such persons, thereby expanding contact of American students and faculty to people of other culture"
"TUMS Master of Public Health (M.P.H.) Program, September 2018",Sponsor: Tehran University of Medical Sciences,Unrestricted,"$3,925 U.S.","To all interested applicants for this year's Master of Public Health Program:
It is our pleasure to inform you that TUMS will accept qualified and interested applicants for the September M.P.H. program.
Admission is open all year round and you can apply right now, but TUMS School of Public Health starts the program in September of each year.
For students who wish to attend the September program, complete applications should be submitted to us before June 30, 2018. 
TUMS School of Public Health accepts highly qualified graduates from around the world.
Deadline: June 3rd
Start of the program: Late-September"
1st Formations Business Scholarship,Sponsor: 1st Formations,Business/Management and Finance,£600,"Our Scholarship awards up to 10 successful applicants with a bursary of £600 each. The bursary is designed to help students with some of the additional costs involved in studying, such as the cost of course materials, textbooks and other living expenses.Applications for the Scholarship will be assessed on a number of different criteria:

A demonstrable enthusiasm for studying and pursuing a career in business, as outlined in your 500 word statement.
The quality of the academic recommendation and grades provided.
Your circumstances and need for further financial support as outlined in your statement."
Fellowship: Global Peace On The Move Fellowship,Sponsor: Peace Revolution,Unrestricted,30,"The fellowship offers a 14 days intensive training program providing participants with deeper insight in the relationship between inner peace and sustainable world peace and enhancing their ability to create peace within their family, professional and social environment.
In addition to our intense meditation practice, participants will gain knowledge of various theoretical approaches that include:
?	Conflict resolution and the role of basic human self-discipline
?	The role of our habits in our daily life and how to improve them; the 5 Rooms  of Life approach
?	The factors that determine our perception to think, act and speak; relation between body and mind
?	Leadership: Eight pillars for a stable peaceful society
?	Thai-Buddhist Studies"
Challenge Your Perspectives,Sponsor: Chalmers University of Technology,"Architecture & Design, Biology/Life Sciences, Business/Management, Engineering, Law & Legal Studies...","$40,000","One American bachelor degree holding student will be awarded with a full tuition fee waiver for a master’s program at Chalmers University of Technology, in the Technology Management and Economics department. The programs include:
Entrepreneurship and Business, Design, 
Management and Economics of Innovation,
Quality and Operations, Management, 
Supply Chain Management. 

To compete just register at the link below (you must be logged in), take three quizzes on Swedish Innovation, Chalmers University of Technology, Technology management, answer an essay question, share your entry, and apply for one of the master’s programs.

You can win a full tuition fee waiver for the master’s program of your choice in Chalmers University of Technology’s department of Technology Management and Economics, an invitation to the prize ceremony in May, and a winner’s certificate.

Find the competition, as well as its rules and eligibility criteria at the link below."
Challenge Your Perspectives,Sponsor: Chalmers University of Technology,"Architecture & Design, Biology/Life Sciences, Business/Management, Engineering, Law & Legal Studies...","$40,000","One American bachelor degree holding student will be awarded with a full tuition fee waiver for a master’s program at Chalmers University of Technology, in the Technology Management and Economics department. The programs include:
Entrepreneurship and Business, Design, 
Management and Economics of Innovation,
Quality and Operations, Management, 
Supply Chain Management. 

To compete just register at the link below (you must be logged in), take three quizzes on Swedish Innovation, Chalmers University of Technology, Technology management, answer an essay question, share your entry, and apply for one of the master’s programs.

You can win a full tuition fee waiver for the master’s program of your choice in Chalmers University of Technology’s department of Technology Management and Economics, an invitation to the prize ceremony in May, and a winner’s certificate.

Find the competition, as well as its rules and eligibility criteria at the link below."
Fellowship for Woodrow Wilson International Center for Scholars,Sponsor: Woodrow Wilson International Center for Scholars,Humanities,"$47,500","Through its program of advanced research and communication, the Woodrow Wilson Center encourages exchange between the world of learning and the world of public affairs."
Cystic Fibrosis Foundation Clinical Fellowships,Sponsor: Cystic Fibrosis Foundation,Medicine and Health Sciences,"Awards are $47,600 (first year) and $49,250 (second year)",The intent of this award is to encourage specialized training early in a physicians career and to prepare candidates for careers in academic medicine.
Award For Academic Excellence,"Sponsor: State University of New York, Plattsburgh",Unrestricted,"$2,500  USD Renewable",Merit-based award for international freshmen.  Must score at least 1200  on SAT and 27  on ACT
JIE/ CONACYT/ Fulbright-Garcia Robles Fellowship for Doctoral Studies in the Us,Sponsor: CONACYT and Fulbright Commision,Computer & Information Systems,Variable,"To provide Mexican scientists and engineers with an advanced degree so that upon returning to their country they can assist in the development, implementation, execution and evaluation of national science and technology information and policy in Mexico."
Congress Bundestag Youth Exchange For Young Professionals,Sponsor: U.S. Congress/ German Bundestag,"Agriculture, Finance and International Relations",Variable,"The Congress-Bundestag Youth Exchange for Young Professionals is a scholarship program with a strong focus on cultural exchange. It is designed to give participants understanding for everyday life, education, and professional training in Germany and the United States."
John A. Knauss Marine Policy Fellowships,Sponsor: National Oceanic and Atmospheric Administration,Marine Biology,"$49,000 USD","Any student, regardless of citizenship, who is in a graduate or professional program in a marine or aquatic-related field at a United States-accredited institution of higher education may apply to the NSGO through their state Sea Grant program. Applicants from states not served by a Sea Grant program should obtain further information by contacting the Knauss Sea Grant Fellowship Program Manager at the NSGO."
IEEE Canadian Foundation Scholarship,Sponsor: IEEE Canadian Foundation,Engineering,"$2,500 or $5,000 USD","The IEEE Canadian Foundation is registered in Canada as a charitable organization associated with IEEE Canada, the Canadian entity of the worldwide Institute of Electrical and Electronics Engineers (IEEE) Inc.   The mission of this charitable engineering foundation is &quot;to promote within Canada the theory and creative practice of electrical and electronics engineering in all its branches&quot;."
University of Strathclyde Research Scholarships,Sponsor: University of Strathclyde,Unrestricted,Variable,Those seeking nomination the award should contact the Department they wish to join. Participant must be a PhD. Existing research students should contact their Head of Department or Supervisor.
College Of St. Catherine & Wasie Scholarship For Women Leaders,Sponsor: College of St. Catherine & the Wasie Foundation,Unrestricted,"$20,000",Awards are for female undergraduate students from Poland who are pursuing a bachelors degree.  The student must enroll at the College of St. Catherine.
The Marten Bequest Travelling Scholarship,Sponsor: Permanent Trustee Company,"Arts, Visual & Performing",Variable,The Marten Bequest Traveling Scholarship is open to native-born Australians aged 21-35 (17-35 ballet) who are of outstanding ability and promise in one or more categories of the Arts.
George Pepler International Award,Sponsor: Royal Town Planning Institute,Town and Country Planning,"1,500 GBP","This award will be made to anyone who - at the closing date of 31 March - is under the age of 30 and who wishes to visit Britain, or be a resident in Britain, wishes to visit another country for a short period (say 3/4 weeks)in order to study some particular aspect of town and country planning."
BAAS Short-term Travel Grant,Sponsor: British Association for American Studies,Political Science/Social Science,Variable,For short-term visits to the US to conduct research or read papers at conferences on American Studies topics
Countess Of Munster Musical Trust Scholarships,Sponsor: Countess of Munster Musical Trust,Music,"5,000 GBP",Towards Postgraduate music study/maintenance in the UK or abroad.
University Of Wisconsin-Superior Nonresident Tuition Waiver (NTW) Award,Sponsor: University of Wisconsin-Superior,Unrestricted,"$5,300 to $7,200 per year","UW-Superior offers nonresident tuition waivers (NTWs) of $5,300 to $7,200 per year to more than 90% of international undergraduate students who qualify for admission."
University Of Wisconsin-Superior Non-resident Tuition Waiver Scholar Awards,Sponsor: University of Wisconsin-Superior,Unrestricted,"$7,500","NTW Scholars Awards are competitive and consider the following criteria: 1) academic merit, 2) potential contribution to campus diversity, 3) personal essay and/or letters of recommendation, 4) financial need and 5) potential contributions to liberal education co-curricular initiatives."
PFLAG Chapter Scholarships,"Sponsor: Parents, Families and Friends of Lesbians and Gays (PFLAG) National",Unrestricted,"$1,000","Many PFLAG chapters have scholarship programs of their own. The following is not an exhaustive list, but includes some of the programs that are available through our chapter network."
Leverhulme Trust Research Fellowships,Sponsor: Leverhulme Trust,Unrestricted,Variable,"To assist researchers experienced in their own fields in pursuing investigations, particularly those who are or have been prevented by routine duties or like cause from undertaking or completing a research program.

The Leverhulme research fellowship is open to candidates in various subject areas. Applicants should follow the link below for more information."
Research Grant through Galpin Society,Sponsor: Galpin Society,"Arts, Visual & Performing",250 GBP,To assist in research on the understanding that an article may be suitable for inclusion in the society's journal.
CFUW Elizabeth Massey Award,Sponsor: Canadian Federation of University Women,Music,"$5,000 Canadian Dollar",For post-graduate studies in music or painting or sculpture in Canada or abroad.
Entente Cordiale Scholarships,Sponsor: The French Embassy in London and the British Council in Paris,Unrestricted,"6,000 - 12,000 GBP","Entente Cordiale scholarships are awarded to outstanding U.K. and French post-graduate, doctoral and post-doctoral students - all subjects - to study or carry out research for an academic year on the other side of the Channel."
Invest Your Talent In Italy Project,"Sponsor: ICE, CCIAA Torino, MAE",Engineering,8000 Euro,Scholarship for Indian and Turkish students to attend Master of Science and 2nd level Specializing Master programs in Engineering.
ALPIP Project,"Sponsor: Fondazione CRT, Regione Piemonte, ISMB",Architecture & Design and Engineering,"10,000 euro","Scholarships for Latin American students to attend Master of Science, 2nd level Specializing Master and PhD courses in Architecture and Engineering."
Verres Campus Project,Sponsor: Regione Valle dAosta,Engineering,"10,000 euros","The project offers international students the possibility to receive a scholarship and other benefits to graduate from the Politecnico di Torino attending a Bachelor of Science program in Computer Engineering at the Verrès campus. 
The courses are held in Italian.
The initiative is promoted by the Politecnico di Torino and is supported by Regione Valle d'Aosta."
Mondovi Campus Project,Sponsor: Fondazione Cassa di Risparmio di Cuneo,"Architecture & Design, Engineering and Sciences",10.000 euros,Scholarships and other benefits to attend Bachelor and Master of Science courses in Architecture and Engineering at the Mondovi campus.
ENIA Project - Petroleum Engineering,Sponsor: ENIA Exploration & Production Division and ENI Corporate University,Engineering,"10,000 Euro","Scholarships and other benefits for students from Congo, Egypt, Kazakhstan, Nigeria, Russia and Saudi Arabia to attend Master of Science courses in Environmental Engineering (Petroleum Engineering)."
SEMA Memorial Scholarship Fund,Sponsor: Specialty Equipment Market Association,Unrestricted,"$1,000-$4,000 USD",SEMA Scholarships are awarded to those in support and encouragement of their educational ambitions.
Jane C. Waldbaum Archaeological Field School Scholarship,Sponsor: Archaeological Institute of America,"Arts, Visual & Performing, History and Anthropology","$1,000 USD",To support participation in an archaeological excavation or survey project.
International Presidential Scholarship at Ashland University,Sponsor: Ashland University,Unrestricted,"$4,000-$8,000/year","To recognize international student scholars who have solid financial backing, and are encouraged to attend Ashland University."
Anna C. And Oliver C. Colburn Fellowship,Sponsor: Archaeological Institute of America,"Arts, Visual & Performing, Classics, History and Anthropology","$11,000 USD","A Fellowship to support studies at the American School of Classical Studies at Athens, Greece, for no more than a year.  Geographic area and cultural period of study not otherwise restricted.  Awarded bi-annually (even years)."
Miami University International Education Scholarship,Sponsor: Miami University,Unrestricted,"up to $10,000 USD",Merit based scholarship covering part of Miami University's tuition for undergraduate students
Sports Tennis Scholarship,Sponsor: InTuition Scholarships,Unrestricted,Variable,Fund a full degree course for Tennis players looking to use their Tennis competence to help finance their degree
ACI Foundation Scholarships,Sponsor: ACI Foundation,"Architecture & Design, Engineering and Construction Trades","$3,000 USD","Scholarships offered to high-potential graduate students in engineering, construction management, and other appropriate curricula within the concrete field."
Canadian Scholars Award Schiller International University,Sponsor: Schiller International University,Unrestricted,One-quarter of tuition,20 one-quarter tuition awards for new students.  This is for study at any campus of Schiller International University.This award is available for two semesters to Canadian citizens only.
Australian Institute Research Grant,Sponsor: Australian Institute of Aboriginal and Torres Straight Islander Studies,Ethnic Studies,"$18,000",To support research that will secure short-term and long-term benefit to Aboriginal and Torres Strait Islander People
Florida High School Award for Schiller International University,Sponsor: Schiller International University,Unrestricted,One third of tuition,"Five one-third tuition awards for one or two semesters available to new students with a good academic record, and are currently enrolled in a high school in the state of Florida. This applies to students who study at any campus of Schiller International University. Schiller"
John Sutter Award,Sponsor: Schiller International University,Unrestricted,One third tuition,Twenty one-third tuition awards for students who are Swiss residents interested in studying at the American College of Switzerland campus. This award is valid for one or two semesters and applicants must demonstrate financial need. This award is only available for students who go to the American College of Switzerland campus of Schiller International University.
Luis Munoz Marin Award,Sponsor: Schiller International University,Unrestricted,One third of tuition,50 one-third tuition awards for US citizens for two semesters who have a GPA of at least 20. This award applies to all campuses of Schiller International University.
Fulbright All-Disciplines Scholar Awards,Sponsor: The US-UK Fulbright Commission,Unrestricted,"$5,000 USD per month","In this Award category, approximately 5 grants are offered to UK academics and professionals to undertake lecturing, research or a combination of the two for a period of three to ten months. Candidates choose and make arrangements with US host institutions directly and independently."
Erasmus Mundus Scholarship,Sponsor: European Commission,Food Science / Nutrition,"48,000 euro","European Master course in Food Science, Technology and Nutrition"
Master Erasmus Mundus In European Literary Cultures-cle,Sponsor: EU funded,Languages/Linguistics and Humanities,students: 42.000/two-year course - scholars: 13.000 euros/3 mont,The ERASMUS MUNDUS PROGRAMME is a co-operation and mobility program in the field of higher education. It aims to promote intercultural understanding through co-operation with NON-European countries
Louis Agassiz Fuertes Award,Sponsor: Wilson Ornithological Society,Veterinary and Animal Sciences,"$2,500 USD","The Wilson Society's most prestigious award is available to all ornithologists, although graduate students and young professionals are preferred. Any avian research is eligible. Two awards of $2500 are given annually."
International Science And Technology Awards,Sponsor: US-UK Fulbright Commission,"Biology/Life Sciences, Computer & Information Systems, Engineering, Mathematics, Aviation/Aerospace...",Variable,"In this Award category, up to 2 scholarships are offered each year to UK citizens to pursue PhD study in science and technology fields. Successful candidates will work with the Fulbright Commission and the Institute of International Education (IIE) to identify and apply to the university departments which offer the best academic fit for them."
Harvard MBA Awards,"Sponsor: US-UK Fulbright Commission, British Friends of Harvard Business School",Finance,Variable,"Each year approximately 3-5 awards are offered in conjunction with the British Friends of Harvard Business School, a registered charity, to UK citizens for the first year of an MBA at Harvard Business School. Applicants must gain acceptance from Harvard in admission round 1 or 2 before making an application to the Fulbright Commission."
British Marshall Scholarships,Sponsor: The British Council,Unrestricted,"$25,000","Established in 1953, the Marshall Scholarships offer top quality US students the opportunity to study, with full funding, at any British university for at least two years."
Commission for Educational Exchange Postdoctoral Research Fellowships,"Sponsor: Commission for Educational Exchange between the USA, Belgium and Luxembourg",Unrestricted,Variable,"To pursue postdoctoral research or study in the USA. Only students, teachers, research scholars and lecturers who are citizens or residents of Belgium or Luxembourg are eligible for these grants and awards."
Apprentice Ecologist Initiative Scholarship,Sponsor: Nicodemus Wilderness Project,Unrestricted,$850 USD,"Open to young people interested in the environment, the initiative seeks to elevate young people into leadership roles by engaging them in environmental stewardship projects."
Deans Scholarship at Fordham University,Sponsor: Fordham University,Unrestricted,"$10,000","This award is open to the top 8% of freshmen applicants to Fordham based on SAT, GPA and class rank (where available)."
International Student Grants at The College of Wooster,Sponsor: The College of Wooster,Unrestricted,Variable,"All international (Non-US) applicants are eligible for Wooster Grant.  The grant is limited to non-US citizens enrolling as first-year, degree-seeking students to The College of Wooster only. It is not available for students studying at other institutions or to students who wish to pursue graduate studies at another institution."
